,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
2319,"Salad dressing, regular, honey mustard",100 g,464,41g,5g,29mg,512.00 mg,20.7 mg,5.00 mcg,0.00 mcg,0.061 mg,0.115 mg,0.023 mg,0.039 mg,70.00 IU,12.00 mcg,1.00 mcg,18.00 mcg,7.00 mcg,41.00 mcg,0,0.05 mcg,0.017 mg,0.2 mg,6.00 IU,3.53 mg,3.53 mg,70.0 mcg,12.00 mg,0.018 mg,0.29 mg,5.00 mg,0.066 mg,22.00 mg,20.00 mg,5.0 mcg,0.14 mg,0.87 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33 g,0.4 g,15.84 g,0,0,0,0,0,0,40.83 g,5.000 g,11.458 g,22.839 g,29.00 mg,0.0 g,2.32 g,0.00 mg,0.00 mg,32.64 g
2320,"Beverages, Mixed Berry, Zero, POWERADE",100 g,0,0g,,0,42.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.833 mg,0,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.25 mcg,0.083 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,10.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14 g,0.0 g,0.00 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.51 g,0.00 mg,0.00 mg,99.35 g
2321,"Egg rolls, prepared, frozen, vegetable",100 g,214,7g,1.1g,0,490.00 mg,14.7 mg,71.00 mcg,5.00 mcg,2.519 mg,0.317 mg,0.245 mg,0.279 mg,972.00 IU,49.00 mcg,179.00 mcg,494.00 mcg,0.00 mcg,149.00 mcg,0,0.00 mcg,0.095 mg,6.7 mg,0.00 IU,0.75 mg,0.75 mg,39.4 mcg,50.00 mg,0.096 mg,1.95 mg,23.00 mg,0.419 mg,72.00 mg,222.00 mg,11.1 mcg,0.45 mg,5.95 g,0.141 g,0.212 g,0.212 g,0.081 g,1.290 g,0.161 g,0.091 g,0.000 g,0.151 g,0.302 g,0.141 g,0.071 g,0.202 g,0.504 g,0.212 g,0.121 g,0.050 g,0.101 g,0.151 g,31.77 g,2.4 g,5.96 g,1.06 g,0.00 g,1.53 g,0.00 g,1.02 g,2.34 g,6.97 g,1.138 g,1.811 g,3.406 g,0.00 mg,0.0 g,1.94 g,0.00 mg,0.00 mg,53.37 g
2322,"Baking chocolate, squares, unsweetened",100 g,642,52g,32g,2mg,24.00 mg,45.7 mg,28.00 mcg,0.00 mcg,1.355 mg,0.168 mg,0.100 mg,0.147 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,38.00 mcg,0,0.00 mcg,0.027 mg,0.0 mg,0.00 IU,0.40 mg,0.40 mg,9.7 mcg,101.00 mg,3.233 mg,17.40 mg,327.00 mg,4.167 mg,400.00 mg,830.00 mg,8.1 mcg,9.63 mg,14.32 g,0.475 g,0.815 g,1.270 g,0.225 g,1.870 g,0.505 g,0.215 g,0.000 g,0.410 g,0.695 g,0.470 g,0.140 g,0.525 g,0.880 g,0.530 g,0.370 g,0.130 g,0.425 g,0.655 g,28.42 g,16.6 g,0.91 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.91 g,52.31 g,32.277 g,16.068 g,1.551 g,2.00 mg,0.0 g,3.60 g,80.00 mg,1297.00 mg,1.34 g
2323,"KEEBLER, Coconut Cookies, CHIPS DELUXE",100 g,530,29g,14g,0,293.00 mg,0,56.00 mcg,0,2.200 mg,0,0.200 mg,0.300 mg,0,0,0,0,0,0,0,0,0.040 mg,0,0,0,0,0,0,0,2.50 mg,28.00 mg,0,75.00 mg,147.00 mg,0,0.50 mg,5.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.50 g,3.7 g,28.40 g,0,0,0,0,0,0,29.30 g,14.100 g,5.500 g,7.700 g,0.00 mg,0,0,0,0,2.50 g
2324,"Beans, liquid from stewed kidney beans",100 g,47,3.2g,1.2g,4mg,2.00 mg,13.5 mg,33.00 mcg,0.00 mcg,0.390 mg,0,0.090 mg,0.100 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.02 mcg,0.030 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,13.00 mg,0.098 mg,1.96 mg,37.00 mg,0,88.00 mg,408.00 mg,0.5 mcg,0.49 mg,1.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80 g,0.1 g,0.00 g,0,0,0,0,0,0,3.20 g,1.174 g,1.536 g,0.340 g,4.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,91.50 g
2325,"Fish, whole (Alaska Native), blackfish",100 g,82,1.8g,,0,0,0,0,0,1.900 mg,0,0.370 mg,0.010 mg,1202.00 IU,0,0,0,0,0,0,0,0,0,0,0,0,0,236.00 mg,0,4.60 mg,0,0,287.00 mg,0,0,0,15.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,1.75 g,0,0,0,0,0,1.65 g,0,0,80.10 g
2326,"Strawberry-flavor beverage mix, powder",100 g,389,0.2g,,0,38.00 mg,0.1 mg,0.00 mcg,0.00 mcg,0.073 mg,0.001 mg,0.110 mg,0.003 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.002 mg,0.3 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,4.00 mg,0.000 mg,0.44 mg,1.00 mg,0.000 mg,5.00 mg,6.00 mg,0.5 mcg,0.00 mg,0.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.10 g,0.0 g,95.45 g,0,0,0,0,0,0,0.20 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.20 g,0.00 mg,0.00 mg,0.40 g
2327,"Sweeteners, liquid, fructose, tabletop",100 g,279,0g,,0,2.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0,0.020 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,1.00 mg,0.037 mg,0.11 mg,0.00 mg,0,0.00 mg,0.00 mg,0.5 mcg,0.09 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.10 g,0.1 g,76.00 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,23.90 g
2328,"Sauce, TABASCO, pepper, ready-to-serve",100 g,12,0.8g,0.1g,0,633.00 mg,0.0 mg,1.00 mcg,1.00 mcg,0.178 mg,0.110 mg,0.084 mg,0.032 mg,1640.00 IU,82.00 mcg,62.00 mcg,919.00 mcg,68.00 mcg,10.00 mcg,0,0.00 mcg,0.154 mg,4.5 mg,0.00 IU,0.01 mg,0.01 mg,0.2 mcg,12.00 mg,0.075 mg,1.16 mg,12.00 mg,0.107 mg,23.00 mg,128.00 mg,0.5 mcg,0.16 mg,1.29 g,0.053 g,0.062 g,0.185 g,0.025 g,0.171 g,0.048 g,0.026 g,0,0.042 g,0.068 g,0.057 g,0.016 g,0.040 g,0.056 g,0.052 g,0.048 g,0.017 g,0.027 g,0.055 g,0.80 g,0.6 g,0.13 g,0,0,0,0,0,0,0.76 g,0.106 g,0.061 g,0.401 g,0.00 mg,0.0 g,1.98 g,0.00 mg,0.00 mg,95.17 g
2329,"Frozen novelties, fruit and juice bars",100 g,87,0.1g,,0,4.00 mg,4.0 mg,7.00 mcg,0.00 mcg,0.159 mg,0.040 mg,0.018 mg,0.011 mg,18.00 IU,1.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,34.00 mcg,0,0.00 mcg,0.025 mg,9.5 mg,0.00 IU,0.00 mg,0.00 mg,0.9 mcg,5.00 mg,0.000 mg,0.19 mg,4.00 mg,0.165 mg,6.00 mg,53.00 mg,0.2 mcg,0.05 mg,1.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.20 g,1.0 g,17.48 g,0,0,0,0,0,0,0.10 g,0.000 g,0.000 g,0.030 g,0.00 mg,0.0 g,0.20 g,0.00 mg,0.00 mg,78.30 g
2330,"Sourdock, young leaves (Alaska Native)",100 g,42,0.7g,,0,0,0,0,0,1.100 mg,0,0.540 mg,0.090 mg,11900.00 IU,0,0,0,0,0,0,0,0,68.0 mg,0,0,0,0,2.00 mg,0,0.80 mg,0,0,55.00 mg,0,0,0,2.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50 g,0,0,0,0,0,0,0,0,0.70 g,0,0,0,0,0,0.80 g,0,0,89.70 g
2331,"Sweet Potato puffs, unprepared, frozen",100 g,161,3.6g,0.3g,0,250.00 mg,0,0,0,0,0,0,0,3000.00 IU,0,0,0,0,0,0,0,0,2.2 mg,0,0,0,0,57.00 mg,0,0.40 mg,0,0,0,248.00 mg,0,0,1.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.72 g,1.9 g,7.65 g,0,0,0,0,0,0,3.58 g,0.310 g,0,0,0.00 mg,0,1.32 g,0,0,63.02 g
2332,"AUSTIN, sandwich-type, PB & J Crackers",100 g,484,22g,4.5g,0,582.00 mg,0,107.00 mcg,0,3.500 mg,0,0.260 mg,0.410 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10 mg,11.00 mg,0,117.00 mg,66.00 mg,0,0,7.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.70 g,2.0 g,16.70 g,0,0,0,0,0,0,21.70 g,4.500 g,5.900 g,9.600 g,0.00 mg,0,0,0,0,2.70 g
2333,"Mushrooms, with salt, cooked, shiitake",100 g,56,0.2g,0.1g,0,240.00 mg,80.0 mg,21.00 mcg,0.00 mcg,1.500 mg,3.594 mg,0.170 mg,0.037 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.159 mg,0.3 mg,28.00 IU,0.00 mg,0.00 mg,0.0 mcg,3.00 mg,0.896 mg,0.44 mg,14.00 mg,0.204 mg,29.00 mg,117.00 mg,24.8 mcg,1.33 mg,1.56 g,0.078 g,0.089 g,0.104 g,0.027 g,0.353 g,0.057 g,0.022 g,0,0.055 g,0.093 g,0.047 g,0.025 g,0.067 g,0.057 g,0.069 g,0.068 g,0.004 g,0.044 g,0.067 g,14.39 g,2.1 g,3.84 g,0,0,0,0,0,0,0.22 g,0.050 g,0.070 g,0.034 g,0.00 mg,0.0 g,0.35 g,0.00 mg,0.00 mg,83.48 g
2334,"Soup, condensed, canned, beef mushroom",100 g,61,2.4g,1.2g,5mg,709.00 mg,0,7.00 mcg,0.00 mcg,0.900 mg,0.190 mg,0.060 mg,0.020 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.16 mcg,0.040 mg,0.0 mg,0,0,0,0,4.00 mg,0.200 mg,0.70 mg,7.00 mg,0.300 mg,29.00 mg,126.00 mg,0,1.10 mg,4.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20 g,0.2 g,0,0,0,0,0,0,0,2.40 g,1.200 g,1.000 g,0.100 g,5.00 mg,0,2.30 g,0,0,85.50 g
2335,"Fish, smoked, mixed species, whitefish",100 g,108,0.9g,0.2g,33mg,1019.00 mg,95.0 mg,7.00 mcg,0.00 mcg,2.400 mg,0.104 mg,0.101 mg,0.032 mg,190.00 IU,57.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,3.26 mcg,0.389 mg,0.0 mg,512.00 IU,0.21 mg,0.21 mg,0.1 mcg,18.00 mg,0.315 mg,0.50 mg,23.00 mg,0.034 mg,132.00 mg,423.00 mg,13.5 mcg,0.49 mg,23.40 g,1.415 g,1.400 g,2.396 g,0.251 g,3.493 g,1.123 g,0.689 g,0,1.078 g,1.902 g,2.149 g,0.693 g,0.914 g,0.827 g,0.955 g,1.026 g,0.262 g,0.790 g,1.206 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.93 g,0.228 g,0.278 g,0.293 g,33.00 mg,0.0 g,5.06 g,0.00 mg,0.00 mg,70.83 g
2336,"Soup, Chinese restaurant, hot and sour",100 g,39,1.2g,0.2g,21mg,376.00 mg,39.9 mg,8.00 mcg,0.00 mcg,0.507 mg,0.227 mg,0.031 mg,0.026 mg,34.00 IU,9.00 mcg,0.00 mcg,1.00 mcg,1.00 mcg,22.00 mcg,0,0.10 mcg,0.064 mg,0.0 mg,5.00 IU,0.39 mg,0.39 mg,1.1 mcg,19.00 mg,0.026 mg,0.64 mg,9.00 mg,0.085 mg,32.00 mg,55.00 mg,0.4 mcg,0.22 mg,2.58 g,0.092 g,0.133 g,0.213 g,0.039 g,0.979 g,0.105 g,0.058 g,0,0.080 g,0.151 g,0.153 g,0.039 g,0.085 g,0.125 g,0.089 g,0.111 g,0.019 g,0.061 g,0.092 g,4.35 g,0.5 g,0.42 g,0.00 g,0.00 g,0.03 g,0.00 g,0.00 g,0.40 g,1.21 g,0.229 g,0.288 g,0.311 g,21.00 mg,0.0 g,1.20 g,0.00 mg,0.00 mg,90.65 g
2337,"Oranges, all commercial varieties, raw",100 g,47,0.1g,,0,0.00 mg,8.4 mg,30.00 mcg,0.00 mcg,0.282 mg,0.250 mg,0.040 mg,0.087 mg,225.00 IU,11.00 mcg,11.00 mcg,71.00 mcg,116.00 mcg,129.00 mcg,0,0.00 mcg,0.060 mg,53.2 mg,0.00 IU,0.18 mg,0.18 mg,0.0 mcg,40.00 mg,0.045 mg,0.10 mg,10.00 mg,0.025 mg,14.00 mg,181.00 mg,0.5 mcg,0.07 mg,0.94 g,0.050 g,0.065 g,0.114 g,0.010 g,0.094 g,0.094 g,0.018 g,0,0.025 g,0.023 g,0.047 g,0.020 g,0.031 g,0.046 g,0.032 g,0.015 g,0.009 g,0.016 g,0.040 g,11.75 g,2.4 g,9.35 g,0,0,0,0,0,0,0.12 g,0.015 g,0.023 g,0.025 g,0.00 mg,0.0 g,0.44 g,0.00 mg,0.00 mg,86.75 g
2338,"Keikitos (muffins), Latino bakery item",100 g,467,25g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.16 g,1.2 g,25.81 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,25.81 g,25.24 g,0,0,0,0,0,1.80 g,0,0,12.99 g
2339,"Cereals ready-to-eat, RALSTON TASTEEOS",100 g,357,5.4g,0.9g,0,571.00 mg,14.9 mg,714.00 mcg,696.00 mcg,17.857 mg,0.393 mg,1.518 mg,1.339 mg,3571.00 IU,1071.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,132.00 mcg,0,5.36 mcg,1.786 mg,21.4 mg,286.00 IU,0.43 mg,0.43 mg,1.3 mcg,357.00 mg,0.429 mg,32.14 mg,143.00 mg,2.700 mg,536.00 mg,607.00 mg,47.0 mcg,13.39 mg,10.71 g,0.573 g,0.685 g,1.475 g,0.256 g,2.352 g,0.552 g,0.235 g,0,0.444 g,0.851 g,0.368 g,0.148 g,0.652 g,0.763 g,0.540 g,0.413 g,0.148 g,0.266 g,0.603 g,75.50 g,10.7 g,3.57 g,0,0,0,0,0,0,5.36 g,0.926 g,1.786 g,1.786 g,0.00 mg,0.0 g,4.29 g,0.00 mg,0.00 mg,3.68 g
2340,"Cake, dry mix, chocolate, pudding-type",100 g,391,8.1g,2g,0,767.00 mg,3.3 mg,54.00 mcg,44.00 mcg,2.417 mg,0.211 mg,0.170 mg,0.210 mg,2.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,4.00 mcg,0,0.50 mcg,0.031 mg,0.1 mg,0.00 IU,0.65 mg,0.65 mg,2.2 mcg,133.00 mg,0.272 mg,2.92 mg,41.00 mg,0.213 mg,286.00 mg,337.00 mg,3.3 mcg,0.78 mg,4.60 g,0.167 g,0.204 g,0.303 g,0.077 g,1.151 g,0.165 g,0.092 g,0,0.188 g,0.315 g,0.208 g,0.071 g,0.218 g,0.390 g,0.227 g,0.156 g,0.066 g,0.156 g,0.240 g,80.16 g,2.3 g,39.53 g,0,0,0,0,0,0,8.14 g,2.022 g,2.803 g,2.269 g,0.00 mg,0.0 g,3.20 g,6.00 mg,207.00 mg,3.90 g
2341,"Ice creams, soft-serve, french vanilla",100 g,222,13g,7.5g,91mg,61.00 mg,26.0 mg,9.00 mcg,0.00 mcg,0.095 mg,0.506 mg,0.182 mg,0.049 mg,589.00 IU,162.00 mcg,5.00 mcg,30.00 mcg,5.00 mcg,151.00 mcg,0,0.50 mcg,0.048 mg,0.8 mg,29.00 IU,0.61 mg,0.61 mg,0.9 mcg,131.00 mg,0.030 mg,0.21 mg,12.00 mg,0.005 mg,116.00 mg,177.00 mg,3.0 mcg,0.52 mg,4.10 g,0.164 g,0.172 g,0.300 g,0.036 g,0.745 g,0.163 g,0.099 g,0,0.215 g,0.353 g,0.296 g,0.091 g,0.176 g,0.374 g,0.216 g,0.169 g,0.048 g,0.170 g,0.241 g,22.20 g,0.7 g,21.16 g,0,0,0,0,0,0,13.00 g,7.480 g,3.490 g,0.450 g,91.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,59.80 g
2342,"Ice creams, soft-serve, light, vanilla",100 g,126,2.6g,1.6g,12mg,70.00 mg,20.3 mg,5.00 mcg,0.00 mcg,0.118 mg,0.447 mg,0.198 mg,0.052 mg,103.00 IU,29.00 mcg,0.00 mcg,5.00 mcg,0.00 mcg,0.00 mcg,0,0.50 mcg,0.046 mg,0.9 mg,0.00 IU,0.06 mg,0.06 mg,0.4 mcg,157.00 mg,0.027 mg,0.06 mg,14.00 mg,0.008 mg,121.00 mg,221.00 mg,3.6 mcg,0.53 mg,4.90 g,0.184 g,0.185 g,0.345 g,0.039 g,0.923 g,0.182 g,0.117 g,0,0.260 g,0.424 g,0.351 g,0.109 g,0.211 g,0.466 g,0.241 g,0.197 g,0.059 g,0.204 g,0.292 g,21.80 g,0.0 g,18.69 g,0,0,0,0,0,0,2.60 g,1.630 g,0.760 g,0.100 g,12.00 mg,0.0 g,1.10 g,0.00 mg,0.00 mg,69.60 g
2343,"Seeds, partially defatted, sesame meal",100 g,567,48g,6.7g,0,39.00 mg,0,30.00 mcg,0.00 mcg,12.816 mg,2.807 mg,0.275 mg,2.573 mg,66.00 IU,3.00 mcg,0,0,0,0,0,0.00 mcg,0.146 mg,0.0 mg,0.00 IU,0,0,0,153.00 mg,1.457 mg,14.55 mg,346.00 mg,1.427 mg,774.00 mg,406.00 mg,0,10.23 mg,16.96 g,0.886 g,2.515 g,1.574 g,0.342 g,3.782 g,1.162 g,0.499 g,0,0.730 g,1.299 g,0.544 g,0.560 g,0.899 g,0.774 g,0.925 g,0.704 g,0.371 g,0.710 g,0.947 g,26.04 g,0,0,0,0,0,0,0,0,48.00 g,6.722 g,18.127 g,21.039 g,0.00 mg,0,4.00 g,0,0,5.00 g
2344,"Gravy, country style cream, CAMPBELL'S",100 g,76,5.1g,1.7g,8mg,322.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,1.69 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08 g,0.0 g,1.69 g,0,0,0,0,0,0,5.08 g,1.695 g,0,0,8.00 mg,0,1.34 g,0,0,86.80 g
2345,"Pasta mix, unprepared, Italian lasagna",100 g,356,2g,0.4g,1mg,1850.00 mg,9.7 mg,113.00 mcg,105.00 mcg,5.577 mg,0.600 mg,0.427 mg,0.700 mg,141.00 IU,10.00 mcg,1.00 mcg,78.00 mcg,0.00 mcg,27.00 mcg,0,0.19 mcg,0.160 mg,0.9 mg,0.00 IU,0.81 mg,0.81 mg,12.9 mcg,52.00 mg,0.154 mg,2.87 mg,37.00 mg,0.582 mg,124.00 mg,277.00 mg,24.9 mcg,0.84 mg,10.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.77 g,2.8 g,11.27 g,0.80 g,0.00 g,0.60 g,0.37 g,2.67 g,6.83 g,1.97 g,0.443 g,0.423 g,0.415 g,1.00 mg,0.0 g,5.41 g,0.00 mg,0.00 mg,7.94 g
2346,"Beverages, Kiwi Strawberry Juice Drink",100 g,47,0g,,0,11.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0,0.000 mg,0.000 mg,20.00 IU,1.00 mcg,4.00 mcg,9.00 mcg,1.00 mcg,25.00 mcg,0,0.00 mcg,0.000 mg,24.7 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.000 mg,0.15 mg,0.00 mg,0,0.00 mg,14.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26 g,0.0 g,11.63 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,87.74 g
2347,"Beverages, FULL THROTTLE, Energy drink",100 g,46,0.1g,,0,35.00 mg,0.3 mg,0.00 mcg,0.00 mcg,1.667 mg,0.000 mg,0.000 mg,0.025 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.25 mcg,0.167 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,13.00 mg,0.005 mg,0.02 mg,3.00 mg,0,0.00 mg,3.00 mg,0.2 mcg,0.00 mg,0.25 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08 g,0.0 g,12.08 g,0,0,0,0,0,0,0.08 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.28 g,33.00 mg,0.00 mg,87.30 g
2348,"Snacks, wasabi-flavored, roasted, peas",100 g,432,14g,5.3g,0,300.00 mg,57.9 mg,138.00 mcg,0.00 mcg,5.060 mg,0.479 mg,0.314 mg,0.614 mg,1537.00 IU,77.00 mcg,42.00 mcg,901.00 mcg,0.00 mcg,4930.00 mcg,0,0.00 mcg,0.548 mg,0.0 mg,0.00 IU,2.31 mg,2.31 mg,50.3 mcg,123.00 mg,0.444 mg,3.80 mg,102.00 mg,1.254 mg,270.00 mg,732.00 mg,7.2 mcg,3.31 mg,14.11 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.20 g,3.8 g,14.11 g,0.78 g,0.00 g,0.24 g,0.00 g,0.34 g,12.73 g,14.11 g,5.290 g,5.792 g,1.951 g,0.00 mg,0.0 g,2.65 g,0.00 mg,0.00 mg,6.93 g
2349,"Sea lion, fat (Alaska Native), Steller",100 g,850,94g,,95mg,0,0,0,0,0,0,0,0,323.00 IU,97.00 mcg,0,0,0,0,0,0,0,0.0 mg,0.00 IU,0,0,0,0,0,0,0,0,0,0,0,0,0.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,94.00 g,0,0,0,95.00 mg,0,0.20 g,0,0,4.70 g
2350,"PEPPERIDGE FARM, Cinnamon Swirl Bread",100 g,300,5g,1.1g,1mg,386.00 mg,0,0,0,2.900 mg,0,0,0.400 mg,100.00 IU,0,0,0,0,0,0,0,0,1.1 mg,0,0,0,0,75.00 mg,0,3.20 mg,0,0,0,0,0,0,0.01 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.90 g,3.2 g,14.60 g,0,0,0,0,0,0,5.00 g,1.100 g,1.100 g,3.200 g,1.00 mg,0,1.40 g,0,0,31.00 g
2351,"English muffins, toasted, whole-wheat",100 g,221,2.3g,0.4g,0,396.00 mg,14.8 mg,45.00 mcg,0.00 mcg,3.336 mg,0.491 mg,0.137 mg,0.261 mg,0.00 IU,0.00 mcg,1.00 mcg,3.00 mcg,0.00 mcg,94.00 mcg,0,0.00 mcg,0.159 mg,0.0 mg,0.00 IU,0.44 mg,0.44 mg,1.1 mcg,288.00 mg,0.225 mg,2.66 mg,77.00 mg,1.946 mg,307.00 mg,228.00 mg,43.8 mcg,1.74 mg,9.60 g,0.380 g,0.453 g,0.554 g,0.207 g,2.782 g,0.393 g,0.223 g,0,0.382 g,0.663 g,0.336 g,0.154 g,0.453 g,0.914 g,0.451 g,0.308 g,0.141 g,0.296 g,0.450 g,44.10 g,7.3 g,8.79 g,0,0,0,0,0,0,2.30 g,0.363 g,0.557 g,0.908 g,0.00 mg,0.0 g,3.00 g,0.00 mg,0.00 mg,41.00 g
2352,"Willow, leaves in oil (Alaska Native)",100 g,592,61g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10 g,0,0,0,0,0,0,0,0,61.00 g,0,0,0,0,0,0.30 g,0,0,28.00 g
2353,"Fast foods, with egg and ham, biscuit",100 g,233,14g,3.1g,156mg,1093.00 mg,97.0 mg,34.00 mcg,17.00 mcg,1.040 mg,0.870 mg,0.310 mg,0.350 mg,223.00 IU,60.00 mcg,0.00 mcg,14.00 mcg,3.00 mcg,108.00 mcg,0,0.62 mcg,0.140 mg,0.0 mg,25.00 IU,1.10 mg,1.10 mg,3.6 mcg,115.00 mg,0.072 mg,2.37 mg,16.00 mg,0.159 mg,165.00 mg,166.00 mg,19.2 mcg,1.16 mg,10.64 g,0.556 g,0.620 g,0.907 g,0.196 g,1.974 g,0.439 g,0.311 g,0,0.521 g,0.863 g,0.722 g,0.281 g,0.519 g,0.620 g,0.575 g,0.456 g,0.142 g,0.383 g,0.564 g,16.37 g,0.4 g,2.20 g,0,0,0,0,0,0,14.08 g,3.080 g,5.710 g,4.010 g,156.00 mg,0.0 g,2.31 g,0.00 mg,0.00 mg,56.60 g
